Arm,Tier,FeatureSet,Model,SamplingTechnique,AUC,F1@0.5,BestF1,BestThreshold,F1Gain
telemetry only,production,full,XGBoost,undersampling,0.7281669865642995,0.3728813559322034,0.3758503401360544,0.63,0.0029689842038509995
telemetry only,production,full,XGBoost,class_weighted,0.7285124257619761,0.38979591836734695,0.3902439024390244,0.52,0.00044798407167745413
telemetry only,production,top10,KNN,base,0.6389073820984615,0.20976491862567812,0.33018273471959675,0.01,0.12041781609391863
telemetry only,production,top10,KNN,oversampling,0.6313856005868698,0.32145684877276326,0.33040201005025127,0.01,0.008945161277488012
telemetry only,production,top10,KNN,undersampling,0.669040357347429,0.33620119126406356,0.33620119126406356,0.41,0.0
telemetry only,production,top10,SVM,base,0.6497642220458041,0.010282776349614395,0.2777988614800759,0.15,0.2675160851304615
telemetry only,production,top10,SVM,oversampling,0.7229144265458091,0.37329504666188085,0.4004474272930649,0.69,0.027152380631184025
telemetry only,production,top10,SVM,undersampling,0.7210452864507442,0.37180373185901866,0.3862332695984704,0.64,0.014429537739451714
telemetry only,production,top10,SVM,class_weighted,0.7243401483253108,0.0,0.39228295819935693,0.27,0.39228295819935693
telemetry only,production,top10,LogisticRegression,base,0.7186146506416375,0.04987531172069826,0.39050131926121373,0.19,0.3406260075405155
telemetry only,production,top10,LogisticRegression,oversampling,0.7198682808935696,0.3685636856368564,0.3904674610449129,0.57,0.021903775408056547
telemetry only,production,top10,LogisticRegression,undersampling,0.7195090241279859,0.3684210526315789,0.3898781630740394,0.59,0.02145711044246046
telemetry only,production,top10,LogisticRegression,class_weighted,0.7197213122167399,0.3652410047522064,0.38833181403828626,0.57,0.023090809286079872
telemetry only,production,top10,RandomForest,base,0.6929403533277728,0.21678321678321677,0.36202307009760426,0.2,0.1452398533143875
telemetry only,production,top10,RandomForest,oversampling,0.6888522374410869,0.2672292545710267,0.36330935251798563,0.27,0.09608009794695893
telemetry only,production,top10,RandomForest,undersampling,0.7051588517852297,0.3611302549965541,0.37407711238720265,0.59,0.012946857390648547
telemetry only,production,top10,RandomForest,class_weighted,0.6932361748952377,0.3245192307692308,0.35964912280701755,0.34,0.03512989203778677
telemetry only,production,top10,XGBoost,base,0.7237799087538062,0.201980198019802,0.38288288288288286,0.14,0.18090268486308086
telemetry only,production,top10,XGBoost,oversampling,0.701536764779773,0.33904761904761904,0.35774865073245954,0.39,0.018701031684840497
telemetry only,production,top10,XGBoost,undersampling,0.714696742068716,0.37491479209270623,0.37544107268877913,0.52,0.0005262805960729033
telemetry only,production,top10,XGBoost,class_weighted,0.7098241651676699,0.3572744014732965,0.3727338651196519,0.35,0.01545946364635542
